Algoritmo,Tamanho,Tempo,Tipo
InsertionSort,9000,1.28,Crescente
InsertionSort,9000,1.52,Decrescente
InsertionSort,9000,1.40,Aleatorio
InsertionSort,10000,1.57,Crescente
InsertionSort,10000,1.88,Decrescente
InsertionSort,10000,1.75,Aleatorio
InsertionSort,20000,6.26,Crescente
InsertionSort,20000,7.48,Decrescente
InsertionSort,20000,6.91,Aleatorio
InsertionSort,30000,14.29,Crescente
InsertionSort,30000,16.79,Decrescente
InsertionSort,30000,15.66,Aleatorio
InsertionSort,40000,25.98,Crescente
InsertionSort,40000,29.61,Decrescente
InsertionSort,40000,33.34,Aleatorio
InsertionSort,50000,49.23,Crescente
InsertionSort,50000,53.68,Decrescente
InsertionSort,50000,48.29,Aleatorio
MergeSort,1000,0.00,Crescente
MergeSort,1000,0.00,Decrescente
MergeSort,1000,0.00,Aleatorio
MergeSort,2000,0.00,Crescente
MergeSort,2000,0.00,Decrescente
MergeSort,2000,0.00,Aleatorio
MergeSort,3000,0.00,Crescente
MergeSort,3000,0.00,Decrescente
MergeSort,3000,0.00,Aleatorio
MergeSort,4000,0.01,Crescente
MergeSort,4000,0.01,Decrescente
MergeSort,4000,0.01,Aleatorio
MergeSort,5000,0.01,Crescente
MergeSort,5000,0.01,Decrescente
MergeSort,5000,0.01,Aleatorio
MergeSort,6000,0.01,Crescente
MergeSort,6000,0.01,Decrescente
MergeSort,6000,0.01,Aleatorio
MergeSort,7000,0.01,Crescente
MergeSort,7000,0.01,Decrescente
MergeSort,7000,0.01,Aleatorio
MergeSort,8000,0.02,Crescente
MergeSort,8000,0.01,Decrescente
MergeSort,8000,0.02,Aleatorio
MergeSort,9000,0.02,Crescente
MergeSort,9000,0.01,Decrescente
MergeSort,9000,0.02,Aleatorio
MergeSort,10000,0.02,Crescente
MergeSort,10000,0.02,Decrescente
MergeSort,10000,0.02,Aleatorio
MergeSort,20000,0.04,Crescente
MergeSort,20000,0.04,Decrescente
MergeSort,20000,0.05,Aleatorio
MergeSort,30000,0.06,Crescente
MergeSort,30000,0.06,Decrescente
MergeSort,30000,0.07,Aleatorio
MergeSort,40000,0.07,Crescente
MergeSort,40000,0.07,Decrescente
MergeSort,40000,0.09,Aleatorio
MergeSort,50000,0.11,Crescente
MergeSort,50000,0.09,Decrescente
MergeSort,50000,0.16,Aleatorio
QuickSortCentral,1000,0.00,Crescente
QuickSortCentral,1000,0.00,Decrescente
